time,x,y,z,pass,front,left,right,speed
7.198,-0.0348,0.3000,1.2700,1,999.00,0.40,999.00,1.000
10.585,-0.0690,0.6000,1.3400,1,999.00,0.40,999.00,1.000
11.457,-0.1055,0.9000,1.4100,1,999.00,0.42,3.92,1.000
12.331,-0.1412,1.2000,1.4800,1,999.00,0.42,3.92,1.000
13.017,-0.1757,1.5000,1.5500,1,999.00,0.42,3.98,1.000
14.054,-0.2095,1.8000,1.6200,1,999.00,0.42,3.98,1.000
14.814,-0.2433,2.1000,1.6900,1,999.00,0.42,4.06,1.000
15.487,-0.2765,2.4000,1.7600,1,999.00,0.42,4.06,1.000
16.242,-0.3101,2.7000,1.8300,1,999.00,0.43,4.12,1.000
16.869,-0.3431,3.0000,1.9000,1,999.00,0.43,4.12,1.000
17.541,-0.3739,3.3000,1.9700,1,999.00,0.42,4.19,1.000
18.360,-0.4049,3.6000,2.0400,1,999.00,0.43,4.23,1.000
19.010,-0.4336,3.9000,2.1100,1,999.00,0.41,4.24,1.000
19.952,-0.4613,4.2000,2.1800,1,999.00,0.41,4.29,1.000
20.623,-0.4907,4.5000,2.2000,1,999.00,0.43,5.11,1.000
21.399,-0.5184,4.8000,2.1300,1,999.00,0.42,4.35,1.000
22.203,-0.5439,5.1000,2.0600,1,999.00,0.41,4.38,1.000
23.011,-0.5717,5.4000,1.9900,1,999.00,0.43,5.19,1.000
23.869,-0.6000,5.7000,1.9200,1,999.00,0.44,4.43,1.000
24.579,-0.6259,6.0000,1.8500,1,999.00,0.42,4.46,1.000
25.429,-0.6511,6.3000,1.7800,1,999.00,0.42,4.48,1.000
26.332,-0.6775,6.6000,1.7100,1,999.00,0.43,4.51,1.000
27.022,-0.7027,6.9000,1.6400,1,999.00,0.43,4.54,1.000
27.855,-0.7269,7.2000,1.5700,1,999.00,0.42,4.55,1.000
28.628,-0.7507,7.5000,1.5000,1,999.00,0.42,5.48,1.000
29.387,-0.7722,7.8000,1.4300,1,999.00,0.41,5.52,1.000
30.253,-0.7942,8.1000,1.3600,1,999.00,0.42,4.63,1.000
31.031,-0.8160,8.4000,1.2900,1,999.00,0.42,4.66,1.000
31.931,-0.8371,8.7000,1.2200,1,999.00,0.42,4.69,1.000
32.663,-0.8576,9.0000,1.1500,1,999.00,0.42,5.67,1.000
33.552,-0.8796,9.3000,1.0800,1,999.00,0.43,5.69,1.000
34.373,-0.9004,9.6000,1.0100,1,999.00,0.43,4.94,1.000
35.014,-0.9186,9.9000,0.9400,1,999.00,0.41,5.72,1.000
35.871,-0.9373,10.2000,0.8700,1,999.00,0.41,5.75,1.000
36.663,-0.9567,10.5000,0.8000,1,999.00,0.42,5.75,1.000
37.438,-0.9753,10.8000,0.8700,1,999.00,0.42,5.77,1.000
38.363,-0.9951,11.1000,0.9400,1,999.00,0.43,5.79,1.000
39.149,-1.0131,11.4000,1.0100,1,999.00,0.42,5.81,1.000
39.880,-1.0292,11.7000,1.0800,1,999.00,0.41,5.83,1.000
40.613,-1.0463,12.0000,1.1500,1,999.00,0.42,5.86,1.000
41.604,-1.0626,12.3000,1.2200,1,999.00,0.42,5.88,1.000
42.377,-1.0786,12.6000,1.2900,1,999.00,0.42,5.88,1.000
45.462,-1.0928,12.9000,1.3600,1,999.00,0.40,5.93,1.000
46.288,-1.1066,13.2000,1.4300,1,999.00,0.40,5.93,1.000
47.009,-1.1237,13.5000,1.5000,1,999.00,0.43,5.93,1.000
47.842,-1.1405,13.8000,1.5700,1,999.00,0.43,5.93,1.000
48.550,-1.1556,14.1000,1.6400,1,999.00,0.42,5.91,1.000
49.336,-1.1703,14.4000,1.7100,1,999.00,0.42,5.91,1.000
50.026,-1.1858,14.7000,1.7800,1,999.00,0.43,5.93,1.000
50.746,-1.2010,15.0000,1.8500,1,999.00,0.43,5.93,1.000
51.619,-1.2141,15.3000,1.9200,1,999.00,0.42,5.91,1.000
52.424,-1.2270,15.6000,1.9900,1,999.00,0.42,5.91,1.000
53.154,-1.2412,15.9000,2.0600,1,999.00,0.43,5.93,1.000
53.840,-1.2552,16.2000,2.1300,1,999.00,0.43,5.93,1.000
54.488,-1.2685,16.5000,2.2000,1,999.00,0.43,5.90,1.000
55.293,-1.2815,16.8000,2.1300,1,999.00,0.43,5.90,1.000
55.987,-1.2946,17.1000,2.0600,1,999.00,0.43,5.90,1.000
56.752,-1.3074,17.4000,1.9900,1,999.00,0.43,5.90,1.000
57.580,-1.3190,17.7000,1.9200,1,999.00,0.42,5.97,1.000
58.305,-1.3303,18.0000,1.8500,1,999.00,0.42,5.97,1.000
59.324,-1.3411,18.3000,1.7800,1,7.52,0.42,6.02,1.000
60.165,-1.3516,18.6000,1.7100,1,7.52,0.42,6.02,1.000
60.845,-1.3617,18.9000,1.6400,1,6.71,0.41,6.08,1.000
61.529,-1.3716,19.2000,1.5700,1,6.31,0.42,6.09,1.000
62.302,-1.3815,19.5000,1.5000,1,5.92,0.42,6.11,1.000
63.000,-1.3905,19.8000,1.4300,1,5.38,0.41,6.15,1.000
64.051,-1.4011,20.0849,1.3600,1,4.82,0.43,6.16,0.950
64.766,-1.4116,20.3698,1.2900,1,4.82,0.43,6.16,0.950
65.472,-1.4205,20.5634,1.2200,1,3.73,0.42,6.22,0.645
66.325,-1.4295,20.7090,1.1500,1,3.16,0.42,6.25,0.486
67.099,-1.4370,20.8180,1.0800,1,2.73,0.41,6.27,0.363
68.065,-1.3793,20.9027,1.0100,1,2.37,0.42,6.28,0.282
68.775,-1.3217,20.9874,0.9400,1,2.37,0.42,6.28,0.282
69.513,-1.2634,21.0496,0.8700,1,1.80,0.42,0.51,0.207
70.346,-1.2080,21.1021,0.8000,1,1.56,0.42,0.38,0.175
71.179,-1.1474,21.1473,0.8700,1,1.38,0.42,0.33,0.150
71.936,-1.0868,21.1924,0.9400,1,1.38,0.42,0.33,0.150
72.764,-1.0194,21.2321,1.0100,1,1.24,0.42,0.31,0.132
73.477,-0.9611,21.2767,1.0800,1,1.37,0.42,0.31,0.149
74.378,-0.9025,21.3231,1.1500,1,1.41,0.42,0.34,0.155
75.355,-0.8439,21.3695,1.2200,1,1.41,0.42,0.34,0.155
76.030,-0.7961,21.4240,1.2900,1,1.61,0.41,0.34,0.182
76.786,-0.7483,21.4786,1.3600,1,1.61,0.41,0.34,0.182
80.111,-0.6906,21.5421,1.4300,1,1.84,0.42,5.65,0.212
80.800,-0.6330,21.6056,1.5000,1,1.84,0.42,5.65,0.212
81.529,-0.5758,21.6770,1.5700,1,2.04,0.43,5.51,0.238
82.222,-0.5181,21.7506,1.6400,1,2.09,0.42,5.45,0.245
83.220,-0.4609,21.8312,1.7100,1,2.27,0.43,5.37,0.269
84.064,-0.4037,21.9119,1.7800,1,2.27,0.43,5.37,0.269
84.760,-0.3451,21.9959,1.8500,1,2.35,0.42,5.23,0.280
85.461,-0.2865,22.0806,1.9200,1,2.37,0.42,5.15,0.283
86.369,-0.2286,22.1673,1.9900,1,2.42,0.42,5.08,0.289
87.126,-0.2134,22.2652,2.0600,1,2.59,0.42,5.01,0.326
87.955,-0.1993,22.3598,2.1300,1,2.55,0.42,4.94,0.315
88.761,-0.1415,22.4467,2.2000,1,2.42,0.42,4.91,0.290
89.512,-0.0835,22.5306,2.1300,1,2.35,0.42,4.88,0.280
90.230,-0.0258,22.6133,2.0600,1,2.32,0.42,4.78,0.276
91.189,0.0310,22.6924,1.9900,1,2.23,0.43,4.73,0.264
91.940,0.0879,22.7716,1.9200,1,2.23,0.43,4.73,0.264
92.631,0.1456,22.8408,1.8500,1,1.98,0.42,4.65,0.231
93.572,0.2040,22.9020,1.7800,1,1.78,0.42,4.61,0.204
94.373,0.2724,22.9553,1.7100,1,1.58,0.43,4.58,0.177
95.120,0.3630,23.0012,1.6400,1,1.40,0.34,4.52,0.153
95.965,0.4510,23.0409,1.5700,1,1.24,0.34,0.39,0.132
96.638,0.5417,23.0771,1.5000,1,1.16,0.32,0.36,0.121
97.568,0.6438,23.0921,1.4300,1,0.93,0.30,0.32,0.050
98.365,0.7479,23.1071,1.3600,1,0.81,0.33,0.30,0.050
99.049,0.8551,23.1221,1.2900,1,0.80,0.32,0.31,0.050
99.974,0.9635,23.1371,1.2200,1,0.80,0.30,0.30,0.050
100.660,1.0721,23.1521,1.1500,1,0.80,0.31,0.31,0.050
101.584,1.1815,23.1671,1.0800,1,0.80,0.31,0.31,0.050
102.249,1.2909,23.1821,1.0100,1,0.80,0.31,0.31,0.050
103.050,1.4002,23.1971,0.9400,1,0.80,0.30,0.31,0.050
103.860,1.5083,23.2121,0.8700,1,0.81,0.30,0.30,0.050
104.737,1.6160,23.2271,0.8000,1,0.80,0.31,0.30,0.050
105.613,1.7364,23.2421,0.8700,1,0.82,0.31,0.41,0.050
106.388,1.8567,23.2571,0.9400,1,0.82,0.31,0.41,0.050
107.175,1.9649,23.2721,1.0100,1,0.80,0.30,0.30,0.050
107.992,2.0720,23.2871,1.0800,1,0.83,0.30,0.30,0.050
115.845,-0.5361,0.3000,1.2700,2,999.00,0.41,4.39,1.000
116.845,-0.5739,0.6000,1.3400,2,999.00,0.43,4.38,1.000
117.578,-0.6109,0.9000,1.4100,2,999.00,0.43,4.38,1.000
118.242,-0.6463,1.2000,1.4800,2,999.00,0.42,4.45,1.000
119.071,-0.6810,1.5000,1.5500,2,999.00,0.42,4.50,1.000
119.983,-0.7164,1.8000,1.6200,2,999.00,0.43,5.46,1.000
120.685,-0.7510,2.1000,1.6900,2,999.00,0.43,5.46,1.000
121.483,-0.7838,2.4000,1.7600,2,999.00,0.42,5.48,1.000
122.343,-0.8158,2.7000,1.8300,2,999.00,0.42,4.63,1.000
123.082,-0.8462,3.0000,1.9000,2,999.00,0.41,4.67,1.000
