time,x,y,z,yaw,wp_index,wp_mode,dist_xneg,dist_xpos,dist_ypos,dist_yneg,dist_zneg,dist_zpos,emergency
6.427,2.4100,0.0000,1.5000,2.1991,0,APPROACH,999.00,5.21,2.17,7.38,999.00,999.00,False
6.903,2.4100,0.0000,1.5000,2.5761,0,APPROACH,7.62,0.70,1.44,0.52,1.28,999.00,False
7.399,2.4100,0.0000,1.5000,2.8023,0,APPROACH,7.62,0.70,1.44,0.52,1.28,999.00,False
8.005,2.4100,0.0000,1.5000,2.9380,0,APPROACH,6.39,0.33,1.11,999.00,1.29,999.00,False
11.448,2.4100,0.0000,1.5000,3.0194,0,APPROACH,6.39,0.33,1.11,999.00,1.29,999.00,False
11.941,2.1600,0.0000,1.3000,3.0317,0,APPROACH,6.38,0.36,4.94,999.00,1.32,999.00,False
12.447,1.9100,0.0000,1.2000,3.0427,0,APPROACH,6.38,0.36,4.94,999.00,1.32,999.00,False
13.062,1.6600,0.0000,1.2000,3.0525,0,APPROACH,6.08,0.40,3.95,999.00,1.13,999.00,False
13.662,1.4100,0.0000,1.2000,3.0615,0,APPROACH,6.08,0.40,3.95,999.00,1.13,999.00,False
14.132,1.1600,0.0000,1.2000,3.0695,0,APPROACH,5.57,0.39,3.32,999.00,1.02,999.00,False
14.615,0.9100,0.0000,1.2000,3.0767,0,APPROACH,5.57,0.39,3.32,999.00,1.02,999.00,False
15.099,0.6600,0.0000,1.2000,3.0832,0,APPROACH,5.04,0.38,3.34,999.00,1.02,999.00,False
15.874,0.4100,0.0000,1.4000,3.0890,1,SCAN,4.82,0.40,3.40,999.00,1.02,999.00,False
16.353,0.4100,0.0000,1.6000,3.0943,1,SCAN,4.82,0.40,3.40,999.00,1.02,999.00,False
16.869,0.4100,0.0000,1.8000,3.0990,1,SCAN,0.30,0.30,0.50,7.28,0.31,0.30,False
17.451,0.4100,0.0000,2.0000,3.1033,1,SCAN,0.30,0.30,0.50,7.28,0.31,0.30,False
17.947,0.4100,0.0000,2.2000,3.1071,1,SCAN,4.31,0.41,6.54,999.00,999.00,999.00,False
18.452,0.4100,0.0000,2.4000,3.1105,1,SCAN,4.31,0.41,6.54,999.00,999.00,999.00,False
18.993,0.4100,0.0000,2.6000,3.1136,1,SCAN,0.30,0.30,0.53,7.15,999.00,0.30,False
19.471,0.4100,0.0000,2.8000,3.1164,1,SCAN,0.30,0.30,0.53,7.15,999.00,0.30,False
19.967,0.4100,0.0000,3.0000,3.1190,1,SCAN,4.30,0.41,999.00,999.00,999.00,999.00,False
20.468,0.4100,0.0000,3.2000,3.1212,1,SCAN,4.30,0.41,999.00,999.00,999.00,999.00,False
21.040,0.4100,0.0000,3.2000,2.5011,2,RETREAT,4.31,0.39,999.00,999.00,999.00,999.00,False
21.546,0.4100,0.0000,3.2000,2.1289,2,RETREAT,4.31,0.39,999.00,999.00,999.00,999.00,False
22.033,0.4100,0.0000,3.2000,1.9057,2,RETREAT,4.16,3.76,999.00,999.00,999.00,999.00,False
22.528,0.4100,0.0000,3.2000,1.7717,2,RETREAT,4.16,3.76,999.00,999.00,999.00,999.00,False
23.014,0.4100,0.0000,3.2000,1.6914,2,RETREAT,4.31,3.67,999.00,999.00,999.00,999.00,False
23.565,0.6600,0.0000,3.0000,1.6793,2,RETREAT,4.31,3.67,999.00,999.00,999.00,999.00,False
24.058,0.9100,0.0000,2.8000,1.6685,2,RETREAT,4.39,3.57,999.00,999.00,999.00,999.00,False
24.557,1.1600,0.0000,2.6000,1.6587,2,RETREAT,4.39,3.57,999.00,999.00,999.00,999.00,False
25.089,1.4100,0.0000,2.5000,1.6499,2,RETREAT,7.13,1.33,0.64,999.00,999.00,1.10,False
25.630,1.6600,0.0000,2.5000,1.6420,2,RETREAT,7.13,1.33,0.64,999.00,999.00,1.10,False
26.182,1.9100,0.0000,2.5000,1.6349,2,RETREAT,5.72,2.51,999.00,999.00,999.00,999.00,False
26.906,2.1600,0.0000,2.5000,1.6285,2,RETREAT,5.72,2.51,999.00,999.00,999.00,999.00,False
27.579,2.1600,0.0000,2.5000,0.9771,3,APPROACH,6.17,1.99,999.00,999.00,999.00,999.00,False
28.132,2.1600,0.0000,2.5000,0.5862,3,APPROACH,6.17,1.99,999.00,999.00,999.00,999.00,False
28.678,2.1600,0.0000,2.5000,0.3517,3,APPROACH,0.52,1.82,999.00,999.00,999.00,999.00,False
29.328,2.1600,0.0000,2.5000,0.2110,3,APPROACH,0.52,1.82,999.00,999.00,999.00,999.00,False
29.820,2.1600,0.0000,2.5000,0.1266,3,APPROACH,0.41,0.31,6.96,1.54,999.00,1.36,False
30.294,2.1600,0.0000,2.3000,0.1140,3,APPROACH,0.41,0.31,6.96,1.54,999.00,1.36,True
30.771,2.4100,0.0000,2.1000,0.1026,3,APPROACH,0.45,1.71,999.00,999.00,999.00,999.00,False
31.252,2.6600,0.0000,1.9000,0.0923,3,APPROACH,0.45,1.71,999.00,999.00,999.00,999.00,False
31.723,2.9100,0.0000,1.7000,0.0831,3,APPROACH,0.44,1.71,999.00,999.00,999.00,999.00,False
32.329,3.1600,0.0000,1.5000,0.0748,3,APPROACH,0.44,1.22,0.90,7.06,999.00,999.00,False
33.113,3.4100,0.0000,1.7000,0.0673,4,SCAN,0.43,0.96,0.91,6.34,0.34,999.00,False
33.606,3.6100,0.0000,1.9000,0.0606,4,SCAN,0.43,0.96,0.91,6.34,0.34,999.00,False
34.092,3.6100,0.0000,2.1000,0.0545,4,SCAN,0.42,5.33,999.00,3.40,999.00,999.00,False
34.607,3.6100,0.0000,2.3000,0.0491,4,SCAN,0.42,5.33,999.00,3.40,999.00,999.00,False
35.101,3.6100,0.0000,2.5000,0.0442,4,SCAN,0.44,0.30,0.50,7.79,0.31,0.61,False
35.581,3.6100,0.0000,2.7000,0.0397,4,SCAN,0.44,0.30,0.50,7.79,0.31,0.61,False
36.081,3.6100,0.0000,2.9000,0.0358,4,SCAN,0.42,6.56,999.00,3.57,999.00,999.00,False
36.621,3.6100,0.0000,3.1000,0.0322,4,SCAN,0.42,6.56,999.00,3.57,999.00,999.00,False
37.162,3.6100,0.0000,3.3000,0.0290,4,SCAN,0.42,0.32,0.50,999.00,0.30,0.30,False
