index,x,y,z,yaw,mode
0,0.4100,0.0000,1.2000,3.1416,APPROACH
1,0.4100,0.0000,3.5000,3.1416,SCAN
2,2.4100,0.0000,2.5000,1.5708,RETREAT
3,3.6100,0.0000,1.2000,0.0000,APPROACH
4,3.6100,0.0000,3.5000,0.0000,SCAN
5,2.4100,0.0000,2.5000,1.5708,RETREAT
6,2.4100,2.0000,2.5000,1.5708,TRANSIT
7,0.4100,2.0000,1.2000,3.1416,APPROACH
8,0.4100,2.0000,3.5000,3.1416,SCAN
9,2.4100,2.0000,2.5000,1.5708,RETREAT
10,3.6100,2.0000,1.2000,0.0000,APPROACH
11,3.6100,2.0000,3.5000,0.0000,SCAN
12,2.4100,2.0000,2.5000,1.5708,RETREAT
13,2.4100,4.0000,2.5000,1.5708,TRANSIT
14,0.4100,4.0000,1.2000,3.1416,APPROACH
15,0.4100,4.0000,3.5000,3.1416,SCAN
16,2.4100,4.0000,2.5000,1.5708,RETREAT
17,3.6100,4.0000,1.2000,0.0000,APPROACH
18,3.6100,4.0000,3.5000,0.0000,SCAN
19,2.4100,4.0000,2.5000,1.5708,RETREAT
20,2.4100,6.0000,2.5000,1.5708,TRANSIT
21,0.4100,6.0000,1.2000,3.1416,APPROACH
22,0.4100,6.0000,3.5000,3.1416,SCAN
23,2.4100,6.0000,2.5000,1.5708,RETREAT
24,3.6100,6.0000,1.2000,0.0000,APPROACH
25,3.6100,6.0000,3.5000,0.0000,SCAN
26,2.4100,6.0000,2.5000,1.5708,RETREAT
27,2.4100,8.0000,2.5000,1.5708,TRANSIT
28,0.4100,8.0000,1.2000,3.1416,APPROACH
29,0.4100,8.0000,3.5000,3.1416,SCAN
30,2.4100,8.0000,2.5000,1.5708,RETREAT
31,3.6100,8.0000,1.2000,0.0000,APPROACH
32,3.6100,8.0000,3.5000,0.0000,SCAN
33,2.4100,8.0000,2.5000,1.5708,RETREAT
34,2.4100,10.0000,2.5000,1.5708,TRANSIT
35,0.4100,10.0000,1.2000,3.1416,APPROACH
36,0.4100,10.0000,3.5000,3.1416,SCAN
37,2.4100,10.0000,2.5000,1.5708,RETREAT
38,3.6100,10.0000,1.2000,0.0000,APPROACH
39,3.6100,10.0000,3.5000,0.0000,SCAN
40,2.4100,10.0000,2.5000,1.5708,RETREAT
41,2.4100,12.0000,2.5000,1.5708,TRANSIT
42,0.4100,12.0000,1.2000,3.1416,APPROACH
43,0.4100,12.0000,3.5000,3.1416,SCAN
44,2.4100,12.0000,2.5000,1.5708,RETREAT
45,3.6100,12.0000,1.2000,0.0000,APPROACH
46,3.6100,12.0000,3.5000,0.0000,SCAN
47,2.4100,12.0000,2.5000,1.5708,RETREAT
48,2.4100,14.0000,2.5000,1.5708,TRANSIT
49,0.4100,14.0000,1.2000,3.1416,APPROACH
50,0.4100,14.0000,3.5000,3.1416,SCAN
51,2.4100,14.0000,2.5000,1.5708,RETREAT
52,3.6100,14.0000,1.2000,0.0000,APPROACH
53,3.6100,14.0000,3.5000,0.0000,SCAN
54,2.4100,14.0000,2.5000,1.5708,RETREAT
55,2.4100,16.0000,2.5000,1.5708,TRANSIT
56,0.4100,16.0000,1.2000,3.1416,APPROACH
57,0.4100,16.0000,3.5000,3.1416,SCAN
58,2.4100,16.0000,2.5000,1.5708,RETREAT
59,3.6100,16.0000,1.2000,0.0000,APPROACH
60,3.6100,16.0000,3.5000,0.0000,SCAN
61,2.4100,16.0000,2.5000,1.5708,RETREAT
62,2.4100,18.0000,2.5000,1.5708,TRANSIT
63,0.4100,18.0000,1.2000,3.1416,APPROACH
64,0.4100,18.0000,3.5000,3.1416,SCAN
65,2.4100,18.0000,2.5000,1.5708,RETREAT
66,3.6100,18.0000,1.2000,0.0000,APPROACH
67,3.6100,18.0000,3.5000,0.0000,SCAN
68,2.4100,18.0000,2.5000,1.5708,RETREAT
69,2.4100,20.0000,2.5000,1.5708,TRANSIT
70,0.4100,20.0000,1.2000,3.1416,APPROACH
71,0.4100,20.0000,3.5000,3.1416,SCAN
72,2.4100,20.0000,2.5000,1.5708,RETREAT
73,3.6100,20.0000,1.2000,0.0000,APPROACH
74,3.6100,20.0000,3.5000,0.0000,SCAN
75,2.4100,20.0000,2.5000,1.5708,RETREAT
76,2.4100,22.0000,2.5000,1.5708,TRANSIT
77,0.4100,22.0000,1.2000,3.1416,APPROACH
78,0.4100,22.0000,3.5000,3.1416,SCAN
79,2.4100,22.0000,2.5000,1.5708,RETREAT
80,3.6100,22.0000,1.2000,0.0000,APPROACH
81,3.6100,22.0000,3.5000,0.0000,SCAN
82,2.4100,22.0000,2.5000,1.5708,RETREAT
83,2.4100,24.0000,2.5000,1.5708,TRANSIT
84,0.4100,24.0000,1.2000,3.1416,APPROACH
85,0.4100,24.0000,3.5000,3.1416,SCAN
86,2.4100,24.0000,2.5000,1.5708,RETREAT
87,3.6100,24.0000,1.2000,0.0000,APPROACH
88,3.6100,24.0000,3.5000,0.0000,SCAN
89,2.4100,24.0000,2.5000,1.5708,RETREAT
90,2.4100,26.0000,2.5000,1.5708,TRANSIT
91,0.4100,26.0000,1.2000,3.1416,APPROACH
92,0.4100,26.0000,3.5000,3.1416,SCAN
93,2.4100,26.0000,2.5000,1.5708,RETREAT
94,3.6100,26.0000,1.2000,0.0000,APPROACH
95,3.6100,26.0000,3.5000,0.0000,SCAN
96,2.4100,26.0000,2.5000,1.5708,RETREAT
97,2.4100,28.0000,2.5000,1.5708,TRANSIT
98,0.4100,28.0000,1.2000,3.1416,APPROACH
99,0.4100,28.0000,3.5000,3.1416,SCAN
100,2.4100,28.0000,2.5000,1.5708,RETREAT
101,3.6100,28.0000,1.2000,0.0000,APPROACH
102,3.6100,28.0000,3.5000,0.0000,SCAN
103,2.4100,28.0000,2.5000,1.5708,RETREAT
104,2.4100,30.0000,2.5000,1.5708,TRANSIT
105,0.4100,30.0000,1.2000,3.1416,APPROACH
106,0.4100,30.0000,3.5000,3.1416,SCAN
107,2.4100,30.0000,2.5000,1.5708,RETREAT
108,3.6100,30.0000,1.2000,0.0000,APPROACH
109,3.6100,30.0000,3.5000,0.0000,SCAN
110,2.4100,30.0000,2.5000,1.5708,RETREAT
111,2.4100,32.0000,2.5000,1.5708,TRANSIT
112,0.4100,32.0000,1.2000,3.1416,APPROACH
113,0.4100,32.0000,3.5000,3.1416,SCAN
114,2.4100,32.0000,2.5000,1.5708,RETREAT
115,3.6100,32.0000,1.2000,0.0000,APPROACH
116,3.6100,32.0000,3.5000,0.0000,SCAN
117,2.4100,32.0000,2.5000,1.5708,RETREAT
118,2.4100,34.0000,2.5000,1.5708,TRANSIT
119,0.4100,34.0000,1.2000,3.1416,APPROACH
120,0.4100,34.0000,3.5000,3.1416,SCAN
121,2.4100,34.0000,2.5000,1.5708,RETREAT
122,3.6100,34.0000,1.2000,0.0000,APPROACH
123,3.6100,34.0000,3.5000,0.0000,SCAN
124,2.4100,34.0000,2.5000,1.5708,RETREAT
125,2.4100,36.0000,2.5000,1.5708,TRANSIT
126,0.4100,36.0000,1.2000,3.1416,APPROACH
127,0.4100,36.0000,3.5000,3.1416,SCAN
